stock symbol,name,macro,sector,industry,basic_industry,total_shares
KDDL,KDDL LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
KECL,KIRLOSKAR ELECTRIC CO LTD,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
KEEPLEARN,DSJ KEEP LEARNING LTD,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,0.0
KELLTONTEC,KELLTON TECH SOL LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
KERNEX,KERNEX MICROSYS(I) LTD,Services,Services,Transport Services,Transport Related Services,16831623.0
KESORAMIND,KESORAM INDUSTRIES LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
KEYFINSERV,KEYNOTE FIN SERV LTD.,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
KHADIM,KHADIM INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,0.0
KHAICHEM,KHAITAN CHEM & FERT LTD,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,0.0
KHAITANLTD,KHAITAN (INDIA)LTD.,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,0.0
KHANDSE,KHANDWALA SECURITIES LTD,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
KICL,KALYANI INVEST CO LTD,Financial Services,Financial Services,Finance,Investment Company,0.0
KILITCH,KILITCH DRUGS INDIA LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
KINGFA,KINGFA SCI & TEC IND LTD.,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
KIOCL,KIOCL LIMITED,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron,0.0
KIRIINDUS,KIRI INDUSTRIES LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,0.0
KIRLOSBROS,KIRLOSKAR BROTHERS LTD,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,0.0
KIRLOSIND,KIRLOSKAR INDUSTRIES LTD,Industrials,Capital Goods,Industrial Products,Other Industrial Products,0.0
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,0.0
KITEX,KITEX GARMENTS LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
KKCL,KEWAL KIRAN CLOTHING LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
KMEW,KNOWLEDGE MARINE & EN W L,Services,Services,Engineering Services,Dredging,0.0
KMSUGAR,K M SUGAR MILLS LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
KNAGRI,KN AGRI RESOURCES LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,0.0
KNRCON,KNR CONSTRU LTD.,Industrials,Construction,Construction,Civil Construction,0.0
KOHINOOR,KOHINOOR FOODS LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
KOKUYOCMLN,KOKUYO CAMLIN LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,0.0
KOLTEPATIL,KOLTE PATIL DEV. LTD.,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
KOPRAN,KOPRAN LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
KOTARISUG,KOTHARI SUG & CHEM LTD.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
KOTHARIPET,KOTHARI PETROCHEM LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,0.0
KOTHARIPRO,KOTHARI PRODUCTS LTD,Services,Services,Commercial Services & Supplies,Trading & Distributors,0.0
KOTYARK,KOTYARK INDUSTRIES LTD,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,0.0
KPEL,K.P. ENERGY LIMITED,Utilities,Power,Power,Power Generation,0.0
KPIGREEN,KPI GREEN ENERGY LIMITED,Utilities,Power,Power,Power Generation,0.0
KRBL,KRBL LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
KRIDHANINF,KRIDHAN INFRA LIMITED,Industrials,Construction,Construction,Civil Construction,0.0
141NSETEST,141NSETEST,,,,,0.0
